test_language,train_languages,accuracy,precision,recall,f1,roc_auc,confusion_matrix
en,"['vi', 'zh', 'ar']",0.545,0.5240641711229946,0.98,0.6829268292682927,0.850725,"[[44, 356], [8, 392]]"
vi,"['en', 'zh', 'ar']",0.5307402760351317,0.5686274509803921,0.07611548556430446,0.13425925925925927,0.5361207853825964,"[[394, 22], [352, 29]]"
zh,"['en', 'vi', 'ar']",0.5025,0.5012658227848101,0.99,0.6655462184873949,0.512428125,"[[6, 394], [4, 396]]"
ar,"['en', 'vi', 'zh']",0.61875,0.5809199318568995,0.8525,0.690982776089159,0.81013125,"[[154, 246], [59, 341]]"
